engine_id,aircraft_id,DEGT,GWFM,GPCN25,engine_family,engine_type,problem_name,main_id
6dc714d821a73d97c06143281b622c4e45c791985425c83cf95d770d99a8feef,31baf613cc66c483d5576812d060e54d64275325be437fc612646a0557cdb2de,4.13745117,1.00932205,0.170868993,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),48365
6dc714d821a73d97c06143281b622c4e45c791985425c83cf95d770d99a8feef,31baf613cc66c483d5576812d060e54d64275325be437fc612646a0557cdb2de,4.13745117,1.00932205,0.170868993,CF34-8E,CF34-8E5,-1pt FAN efficiency,48365
6dc714d821a73d97c06143281b622c4e45c791985425c83cf95d770d99a8feef,31baf613cc66c483d5576812d060e54d64275325be437fc612646a0557cdb2de,4.13745117,1.00932205,0.170868993,CF34-8E,CF34-8E5,-1pt LPT efficiency,48365
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,3.963135,0.620056987,0.0425439999,CF34-8E,CF34-8E5,VBV open 10,20026
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.4752202,0.797170997,0.137854993,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),49984
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,3.963135,0.620056987,0.0425439999,CF34-8E,CF34-8E5,+1%W25 9th stg customer bleed (leakage),20026
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,4.4752202,0.797170997,0.137854993,CF34-8E,CF34-8E5,+1%W25 5th stg customer bleed (leakage),49984
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,3.963135,0.620056987,0.0425439999,CF34-8E,CF34-8E5,+1%W25 5th stg customer bleed (leakage),20026
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-8.97619629,-0.339978009,-0.0855500028,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),87777
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-9.84960938,-1.02599704,-0.103509001,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),38031
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,-4.27746582,-0.109057002,-0.102003999,CF34-8E,CF34-8E5,-0.5%W13 decrease (Dirty Fan blades),71228
